geography,period,cdid,services,flow,measure_type,value,unit
K02000001,year/2015,MTN7,manufacturing-and-maintenance-services,export,gbp-total,4280,gbp-million
K02000001,year/2016,MTN7,manufacturing-and-maintenance-services,export,gbp-total,4112,gbp-million
K02000001,quarter/2015-Q3,MTN7,manufacturing-and-maintenance-services,export,gbp-total,1038,gbp-million
K02000001,quarter/2015-Q4,MTN7,manufacturing-and-maintenance-services,export,gbp-total,922,gbp-million
K02000001,quarter/2016-Q1,MTN7,manufacturing-and-maintenance-services,export,gbp-total,1037,gbp-million
K02000001,quarter/2016-Q2,MTN7,manufacturing-and-maintenance-services,export,gbp-total,948,gbp-million
K02000001,quarter/2016-Q3,MTN7,manufacturing-and-maintenance-services,export,gbp-total,1022,gbp-million
K02000001,quarter/2016-Q4,MTN7,manufacturing-and-maintenance-services,export,gbp-total,1105,gbp-million
K02000001,quarter/2017-Q1,MTN7,manufacturing-and-maintenance-services,export,gbp-total,1004,gbp-million
K02000001,quarter/2017-Q2,MTN7,manufacturing-and-maintenance-services,export,gbp-total,1087,gbp-million
K02000001,quarter/2017-Q3,MTN7,manufacturing-and-maintenance-services,export,gbp-total,1179,gbp-million
K02000001,year/2015,FKOA,transport,export,gbp-total,25569,gbp-million
K02000001,year/2016,FKOA,transport,export,gbp-total,25970,gbp-million
K02000001,quarter/2015-Q3,FKOA,transport,export,gbp-total,6369,gbp-million
K02000001,quarter/2015-Q4,FKOA,transport,export,gbp-total,6328,gbp-million
K02000001,quarter/2016-Q1,FKOA,transport,export,gbp-total,6597,gbp-million
K02000001,quarter/2016-Q2,FKOA,transport,export,gbp-total,6248,gbp-million
K02000001,quarter/2016-Q3,FKOA,transport,export,gbp-total,6354,gbp-million
K02000001,quarter/2016-Q4,FKOA,transport,export,gbp-total,6771,gbp-million
K02000001,quarter/2017-Q1,FKOA,transport,export,gbp-total,7338,gbp-million
K02000001,quarter/2017-Q2,FKOA,transport,export,gbp-total,7232,gbp-million
K02000001,quarter/2017-Q3,FKOA,transport,export,gbp-total,7258,gbp-million
K02000001,year/2015,FAPO,travel,export,gbp-total,29785,gbp-million
K02000001,year/2016,FAPO,travel,export,gbp-total,30756,gbp-million
K02000001,quarter/2015-Q3,FAPO,travel,export,gbp-total,7153,gbp-million
K02000001,quarter/2015-Q4,FAPO,travel,export,gbp-total,7764,gbp-million
K02000001,quarter/2016-Q1,FAPO,travel,export,gbp-total,7676,gbp-million
K02000001,quarter/2016-Q2,FAPO,travel,export,gbp-total,7612,gbp-million
K02000001,quarter/2016-Q3,FAPO,travel,export,gbp-total,7376,gbp-million
K02000001,quarter/2016-Q4,FAPO,travel,export,gbp-total,8092,gbp-million
K02000001,quarter/2017-Q1,FAPO,travel,export,gbp-total,8278,gbp-million
K02000001,quarter/2017-Q2,FAPO,travel,export,gbp-total,8328,gbp-million
K02000001,quarter/2017-Q3,FAPO,travel,export,gbp-total,8539,gbp-million
K02000001,year/2015,FDSG,construction,export,gbp-total,1595,gbp-million
K02000001,year/2016,FDSG,construction,export,gbp-total,1952,gbp-million
K02000001,quarter/2015-Q3,FDSG,construction,export,gbp-total,439,gbp-million
K02000001,quarter/2015-Q4,FDSG,construction,export,gbp-total,371,gbp-million
K02000001,quarter/2016-Q1,FDSG,construction,export,gbp-total,480,gbp-million
K02000001,quarter/2016-Q2,FDSG,construction,export,gbp-total,460,gbp-million
K02000001,quarter/2016-Q3,FDSG,construction,export,gbp-total,576,gbp-million
K02000001,quarter/2016-Q4,FDSG,construction,export,gbp-total,436,gbp-million
K02000001,quarter/2017-Q1,FDSG,construction,export,gbp-total,467,gbp-million
K02000001,quarter/2017-Q2,FDSG,construction,export,gbp-total,469,gbp-million
K02000001,quarter/2017-Q3,FDSG,construction,export,gbp-total,465,gbp-million
K02000001,year/2015,FDTF,insurance-and-pension-services,export,gbp-total,14814,gbp-million
K02000001,year/2016,FDTF,insurance-and-pension-services,export,gbp-total,20666,gbp-million
K02000001,quarter/2015-Q3,FDTF,insurance-and-pension-services,export,gbp-total,3393,gbp-million
K02000001,quarter/2015-Q4,FDTF,insurance-and-pension-services,export,gbp-total,3676,gbp-million
K02000001,quarter/2016-Q1,FDTF,insurance-and-pension-services,export,gbp-total,4585,gbp-million
K02000001,quarter/2016-Q2,FDTF,insurance-and-pension-services,export,gbp-total,4701,gbp-million
K02000001,quarter/2016-Q3,FDTF,insurance-and-pension-services,export,gbp-total,5996,gbp-million
K02000001,quarter/2016-Q4,FDTF,insurance-and-pension-services,export,gbp-total,5384,gbp-million
K02000001,quarter/2017-Q1,FDTF,insurance-and-pension-services,export,gbp-total,4426,gbp-million
K02000001,quarter/2017-Q2,FDTF,insurance-and-pension-services,export,gbp-total,3896,gbp-million
K02000001,quarter/2017-Q3,FDTF,insurance-and-pension-services,export,gbp-total,3982,gbp-million
K02000001,year/2015,FDYI,financial,export,gbp-total,52226,gbp-million
K02000001,year/2016,FDYI,financial,export,gbp-total,61383,gbp-million
K02000001,quarter/2015-Q3,FDYI,financial,export,gbp-total,14091,gbp-million
K02000001,quarter/2015-Q4,FDYI,financial,export,gbp-total,15098,gbp-million
K02000001,quarter/2016-Q1,FDYI,financial,export,gbp-total,14102,gbp-million
K02000001,quarter/2016-Q2,FDYI,financial,export,gbp-total,15380,gbp-million
K02000001,quarter/2016-Q3,FDYI,financial,export,gbp-total,15988,gbp-million
K02000001,quarter/2016-Q4,FDYI,financial,export,gbp-total,15913,gbp-million
K02000001,quarter/2017-Q1,FDYI,financial,export,gbp-total,15556,gbp-million
K02000001,quarter/2017-Q2,FDYI,financial,export,gbp-total,16233,gbp-million
K02000001,quarter/2017-Q3,FDYI,financial,export,gbp-total,16558,gbp-million
K02000001,year/2015,FEBA,intellectual-property,export,gbp-total,12676,gbp-million
K02000001,year/2016,FEBA,intellectual-property,export,gbp-total,13562,gbp-million
K02000001,quarter/2015-Q3,FEBA,intellectual-property,export,gbp-total,3241,gbp-million
K02000001,quarter/2015-Q4,FEBA,intellectual-property,export,gbp-total,3289,gbp-million
K02000001,quarter/2016-Q1,FEBA,intellectual-property,export,gbp-total,3387,gbp-million
K02000001,quarter/2016-Q2,FEBA,intellectual-property,export,gbp-total,3384,gbp-million
K02000001,quarter/2016-Q3,FEBA,intellectual-property,export,gbp-total,3188,gbp-million
K02000001,quarter/2016-Q4,FEBA,intellectual-property,export,gbp-total,3603,gbp-million
K02000001,quarter/2017-Q1,FEBA,intellectual-property,export,gbp-total,3213,gbp-million
K02000001,quarter/2017-Q2,FEBA,intellectual-property,export,gbp-total,3572,gbp-million
K02000001,quarter/2017-Q3,FEBA,intellectual-property,export,gbp-total,3657,gbp-million
K02000001,year/2015,FDYQ,telecommunication-computer-and-information-services,export,gbp-total,17835,gbp-million
K02000001,year/2016,FDYQ,telecommunication-computer-and-information-services,export,gbp-total,20992,gbp-million
K02000001,quarter/2015-Q3,FDYQ,telecommunication-computer-and-information-services,export,gbp-total,4571,gbp-million
K02000001,quarter/2015-Q4,FDYQ,telecommunication-computer-and-information-services,export,gbp-total,4596,gbp-million
K02000001,quarter/2016-Q1,FDYQ,telecommunication-computer-and-information-services,export,gbp-total,5106,gbp-million
K02000001,quarter/2016-Q2,FDYQ,telecommunication-computer-and-information-services,export,gbp-total,5150,gbp-million
K02000001,quarter/2016-Q3,FDYQ,telecommunication-computer-and-information-services,export,gbp-total,5260,gbp-million
